id,event_id,source_type,source_name,source_url,source_quality,source_precision
src_evt_defenestration_prague_1618_britannica,evt_defenestration_prague_1618,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Defenestration-of-Prague-1618,encyclopedic,direct
src_evt_thirty_years_war_britannica,evt_thirty_years_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Thirty-Years-War,encyclopedic,direct
src_evt_ming_qing_transition_wikipedia,evt_ming_qing_transition,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Transition_from_Ming_to_Qing,encyclopedic,direct
src_evt_english_civil_war_britannica,evt_english_civil_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/English-Civil-Wars,encyclopedic,direct
src_evt_peace_of_westphalia_britannica,evt_peace_of_westphalia,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Peace-of-Westphalia,encyclopedic,direct
src_evt_scientific_revolution_britannica,evt_scientific_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/science/Scientific-Revolution,encyclopedic,direct
src_evt_maratha_empire_britannica,evt_maratha_empire,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Maratha-confederacy,encyclopedic,direct
src_evt_glorious_revolution_britannica,evt_glorious_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Glorious-Revolution,encyclopedic,direct
src_evt_great_northern_war_britannica,evt_great_northern_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Second-Northern-War,encyclopedic,direct
src_evt_war_spanish_succession_britannica,evt_war_spanish_succession,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/War-of-the-Spanish-Succession,encyclopedic,direct
src_evt_war_austrian_succession_britannica,evt_war_austrian_succession,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/War-of-the-Austrian-Succession,encyclopedic,direct
src_evt_first_carnatic_war_wikipedia,evt_first_carnatic_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/First_Carnatic_War,encyclopedic,direct
src_evt_seven_years_war_britannica,evt_seven_years_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Seven-Years-War,encyclopedic,direct
src_evt_industrial_revolution_britannica,evt_industrial_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Industrial-Revolution,encyclopedic,direct
src_evt_burmese_siamese_war_1765_wikipedia,evt_burmese_siamese_war_1765,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1765%E2%80%931767),encyclopedic,direct
src_evt_partitions_poland_britannica,evt_partitions_poland,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Partitions-of-Poland,encyclopedic,direct
src_evt_pugachev_rebellion_britannica,evt_pugachev_rebellion,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Pugachev-Rebellion,encyclopedic,direct
src_evt_tupac_amaru_rebellion_britannica,evt_tupac_amaru_rebellion,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/biography/Tupac-Amaru-II,encyclopedic,direct
src_evt_american_revolution_britannica,evt_american_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/American-Revolution,encyclopedic,direct
src_evt_declaration_independence_us_archives,evt_declaration_independence_us,primary_text,National Archives,https://www.archives.gov/milestone-documents/declaration-of-independence,primary,direct
src_evt_french_revolution_britannica,evt_french_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/French-Revolution,encyclopedic,direct
src_evt_haitian_revolution_britannica,evt_haitian_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Haitian-Revolution,encyclopedic,direct
src_evt_white_lotus_rebellion_britannica,evt_white_lotus_rebellion,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/White-Lotus-Rebellion,encyclopedic,direct
src_evt_napoleonic_wars_britannica,evt_napoleonic_wars,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Napoleonic-Wars,encyclopedic,direct
src_evt_sokoto_jihad_start_britannica_western_africa,evt_sokoto_jihad_start,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/place/western-Africa/The-jihad-of-Usman-dan-Fodio,encyclopedic,direct
src_evt_sokoto_jihad_start_britannica_usman,evt_sokoto_jihad_start,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/biography/Usman-dan-Fodio,encyclopedic,direct
src_evt_sokoto_caliphate_wikipedia,evt_sokoto_caliphate,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Sokoto_Caliphate,encyclopedic,direct
src_evt_spanish_american_wars_independence_britannica,evt_spanish_american_wars_independence,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/place/Latin-America/The-independence-of-Latin-America,encyclopedic,direct
src_evt_mfecane_britannica,evt_mfecane,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Mfecane,encyclopedic,direct
src_evt_war_1812_britannica,evt_war_1812,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/War-of-1812,encyclopedic,direct
src_evt_greek_war_independence_britannica,evt_greek_war_independence,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/War-of-Greek-Independence,encyclopedic,direct
src_evt_java_war_britannica,evt_java_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Java-War,encyclopedic,direct
src_evt_invasion_algiers_1830_britannica_algeria,evt_invasion_algiers_1830,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/place/Algeria/Colonial-rule,encyclopedic,direct
src_evt_invasion_algiers_1830_britannica_algiers,evt_invasion_algiers_1830,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/summary/Algiers,encyclopedic,direct
src_evt_french_conquest_algeria_shd,evt_french_conquest_algeria,institutional,Service historique de la Défense,https://www.servicehistorique.sga.defense.gouv.fr/ark/1017703,institutional,direct
src_evt_french_conquest_algeria_wikipedia,evt_french_conquest_algeria,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/French_conquest_of_Algeria,encyclopedic,direct
src_evt_first_anglo_afghan_war_britannica,evt_first_anglo_afghan_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/First-Anglo-Afghan-War,encyclopedic,direct
src_evt_opium_wars_britannica,evt_opium_wars,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/opium-trade/The-Opium-Wars,encyclopedic,direct
src_evt_revolutions_1848_britannica,evt_revolutions_1848,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Revolutions-of-1848,encyclopedic,direct
src_evt_taiping_rebellion_britannica,evt_taiping_rebellion,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Taiping-Rebellion,encyclopedic,direct
src_evt_crimean_war_britannica,evt_crimean_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Crimean-War,encyclopedic,direct
src_evt_indian_rebellion_1857_britannica,evt_indian_rebellion_1857,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Indian-Rebellion-of-1857,encyclopedic,direct
src_evt_american_civil_war_britannica,evt_american_civil_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/American-Civil-War,encyclopedic,direct
src_evt_paraguayan_war_britannica,evt_paraguayan_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/War-of-the-Triple-Alliance,encyclopedic,direct
src_evt_austro_prussian_war_britannica,evt_austro_prussian_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Seven-Weeks-War,encyclopedic,direct
src_evt_meiji_restoration_britannica,evt_meiji_restoration,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Meiji-Restoration,encyclopedic,direct
src_evt_franco_prussian_war_britannica,evt_franco_prussian_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Franco-German-War,encyclopedic,direct
src_evt_war_of_the_pacific_britannica,evt_war_of_the_pacific,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/War-of-the-Pacific,encyclopedic,direct
src_evt_mahdist_war_wikipedia,evt_mahdist_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Mahdist_War,encyclopedic,direct
src_evt_scramble_for_africa_britannica,evt_scramble_for_africa,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Scramble-for-Africa,encyclopedic,direct
src_evt_berlin_conference_britannica,evt_berlin_conference,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Berlin-West-Africa-Conference,encyclopedic,direct
src_evt_sino_french_war_britannica,evt_sino_french_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Sino-French-War,encyclopedic,direct
src_evt_first_sino_japanese_war_britannica,evt_first_sino_japanese_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/First-Sino-Japanese-War-1894-1895,encyclopedic,direct
src_evt_first_italo_ethiopian_war_britannica,evt_first_italo_ethiopian_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Italo-Ethiopian-War-1895-1896,encyclopedic,direct
src_evt_philippine_revolution_britannica,evt_philippine_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Philippine-Revolution,encyclopedic,direct
src_evt_spanish_american_war_britannica,evt_spanish_american_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Spanish-American-War,encyclopedic,direct
src_evt_boxer_rebellion_britannica,evt_boxer_rebellion,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Boxer-Rebellion,encyclopedic,direct
src_evt_second_boer_war_britannica,evt_second_boer_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/South-African-War,encyclopedic,direct
src_evt_russo_japanese_war_britannica,evt_russo_japanese_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Russo-Japanese-War,encyclopedic,direct
src_evt_persian_constitutional_revolution_wikipedia,evt_persian_constitutional_revolution,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Persian_Constitutional_Revolution,encyclopedic,direct
src_evt_young_turk_revolution_britannica,evt_young_turk_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Young-Turk-Revolution,encyclopedic,direct
src_evt_mexican_revolution_britannica,evt_mexican_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Mexican-Revolution,encyclopedic,direct
src_evt_italo_turkish_war_britannica,evt_italo_turkish_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Italo-Turkish-War,encyclopedic,direct
src_evt_xinhai_revolution_britannica,evt_xinhai_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Chinese-Revolution-1911-1912,encyclopedic,direct
src_evt_balkan_wars_britannica,evt_balkan_wars,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Balkan-Wars,encyclopedic,direct
src_evt_world_war_i_britannica,evt_world_war_i,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/World-War-I,encyclopedic,direct
src_evt_turkish_war_independence_wikipedia,evt_turkish_war_independence,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Turkish_War_of_Independence,encyclopedic,direct
src_evt_world_war_ii_britannica,evt_world_war_ii,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/World-War-II,encyclopedic,direct
src_evt_great_depression_britannica,evt_great_depression,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/summary/Great-Depression-Key-Facts,encyclopedic,direct
src_evt_cold_war_britannica,evt_cold_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Cold-War,encyclopedic,direct
src_evt_united_nations_un_charter,evt_united_nations,primary_text,United Nations,https://www.un.org/en/about-us/un-charter,primary,direct
src_evt_partition_of_india_britannica,evt_partition_of_india,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Partition-of-India,encyclopedic,direct
src_evt_covid_19_pandemic_cdc,evt_covid_19_pandemic,institutional,Centers for Disease Control and Prevention,https://www.cdc.gov/covid/index.html,institutional,direct
src_evt_russian_invasion_ukraine_britannica,evt_russian_invasion_ukraine,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Russia-Ukraine-War,encyclopedic,direct
src_evt_october_7_attacks_britannica,evt_october_7_attacks,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/October-7-attack,encyclopedic,direct
src_evt_indonesian_national_revolution_wikipedia,evt_indonesian_national_revolution,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Indonesian_National_Revolution,encyclopedic,direct
src_evt_malayan_emergency_wikipedia,evt_malayan_emergency,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Malayan_Emergency,encyclopedic,direct
src_evt_mau_mau_rebellion_wikipedia,evt_mau_mau_rebellion,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Mau_Mau_rebellion,encyclopedic,direct
src_evt_cuban_revolution_wikipedia,evt_cuban_revolution,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Cuban_Revolution,encyclopedic,direct
src_evt_hungarian_revolution_1956_wikipedia,evt_hungarian_revolution_1956,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956,encyclopedic,direct
src_evt_great_leap_forward_wikipedia,evt_great_leap_forward,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Great_Leap_Forward,encyclopedic,direct
src_evt_cultural_revolution_wikipedia,evt_cultural_revolution,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Cultural_Revolution,encyclopedic,direct
src_evt_nigerian_civil_war_wikipedia,evt_nigerian_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Nigerian_Civil_War,encyclopedic,direct
src_evt_bangladesh_liberation_war_wikipedia,evt_bangladesh_liberation_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Bangladesh_Liberation_War,encyclopedic,direct
src_evt_chilean_coup_1973_wikipedia,evt_chilean_coup_1973,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/1973_Chilean_coup_d%27%C3%A9tat,encyclopedic,direct
src_evt_angolan_civil_war_wikipedia,evt_angolan_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Angolan_Civil_War,encyclopedic,direct
src_evt_lebanese_civil_war_wikipedia,evt_lebanese_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Lebanese_Civil_War,encyclopedic,direct
src_evt_soviet_afghan_war_wikipedia,evt_soviet_afghan_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War,encyclopedic,direct
src_evt_falklands_war_wikipedia,evt_falklands_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Falklands_War,encyclopedic,direct
src_evt_people_power_revolution_wikipedia,evt_people_power_revolution,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/People_Power_Revolution,encyclopedic,direct
src_evt_tiananmen_1989_wikipedia,evt_tiananmen_1989,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre,encyclopedic,direct
src_evt_gulf_war_wikipedia,evt_gulf_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Gulf_War,encyclopedic,direct
src_evt_yugoslav_wars_wikipedia,evt_yugoslav_wars,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Yugoslav_Wars,encyclopedic,direct
src_evt_rwandan_civil_war_wikipedia,evt_rwandan_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Rwandan_Civil_War,encyclopedic,direct
src_evt_asian_financial_crisis_wikipedia,evt_asian_financial_crisis,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis,encyclopedic,direct
src_evt_second_congo_war_wikipedia,evt_second_congo_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Second_Congo_War,encyclopedic,direct
src_evt_kosovo_war_wikipedia,evt_kosovo_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Kosovo_War,encyclopedic,direct
src_evt_war_in_darfur_wikipedia,evt_war_in_darfur,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/War_in_Darfur,encyclopedic,direct
src_evt_syrian_civil_war_wikipedia,evt_syrian_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Syrian_civil_war,encyclopedic,direct
src_evt_yemeni_civil_war_2014_wikipedia,evt_yemeni_civil_war_2014,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Yemeni_civil_war_(2014%E2%80%93present),encyclopedic,direct
src_evt_green_revolution_wikipedia,evt_green_revolution,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Green_Revolution,encyclopedic,direct
src_evt_eritrea_independence_war_wikipedia,evt_eritrea_independence_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Eritrean_War_of_Independence,encyclopedic,direct
src_evt_guatemalan_civil_war_wikipedia,evt_guatemalan_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Guatemalan_Civil_War,encyclopedic,direct
src_evt_colombian_conflict_wikipedia,evt_colombian_conflict,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Colombian_conflict,encyclopedic,direct
src_evt_ethiopian_civil_war_wikipedia,evt_ethiopian_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Ethiopian_Civil_War,encyclopedic,direct
src_evt_western_sahara_war_wikipedia,evt_western_sahara_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Western_Sahara_War,encyclopedic,direct
src_evt_operation_condor_wikipedia,evt_operation_condor,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Operation_Condor,encyclopedic,direct
src_evt_dirty_war_wikipedia,evt_dirty_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Dirty_War,encyclopedic,direct
src_evt_mozambican_civil_war_wikipedia,evt_mozambican_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Mozambican_Civil_War,encyclopedic,direct
src_evt_ogaden_war_wikipedia,evt_ogaden_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Ogaden_War,encyclopedic,direct
src_evt_nicaraguan_revolution_wikipedia,evt_nicaraguan_revolution,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Nicaraguan_Revolution,encyclopedic,direct
src_evt_salvadoran_civil_war_wikipedia,evt_salvadoran_civil_war,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Salvadoran_Civil_War,encyclopedic,direct
src_evt_montreal_protocol_wikipedia,evt_montreal_protocol,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Montreal_Protocol,encyclopedic,direct
src_evt_apartheid_negotiations_wikipedia,evt_apartheid_negotiations,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Negotiations_to_end_apartheid_in_South_Africa,encyclopedic,direct
src_evt_human_genome_project_wikipedia,evt_human_genome_project,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Human_Genome_Project,encyclopedic,direct
src_evt_world_trade_organization_wikipedia,evt_world_trade_organization,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/World_Trade_Organization,encyclopedic,direct
src_evt_kyoto_protocol_wikipedia,evt_kyoto_protocol,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Kyoto_Protocol,encyclopedic,direct
src_evt_east_timor_crisis_1999_wikipedia,evt_east_timor_crisis_1999,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/1999_East_Timorese_crisis,encyclopedic,direct
src_evt_international_criminal_court_wikipedia,evt_international_criminal_court,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/International_Criminal_Court,encyclopedic,direct
src_evt_sars_outbreak_wikipedia,evt_sars_outbreak,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/2002%E2%80%932004_SARS_outbreak,encyclopedic,direct
src_evt_indian_ocean_tsunami_wikipedia,evt_indian_ocean_tsunami,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/2004_Indian_Ocean_earthquake_and_tsunami,encyclopedic,direct
src_evt_haiti_earthquake_2010_wikipedia,evt_haiti_earthquake_2010,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/2010_Haiti_earthquake,encyclopedic,direct
src_evt_west_africa_ebola_wikipedia,evt_west_africa_ebola,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Western_African_Ebola_epidemic,encyclopedic,direct
src_evt_paris_agreement_wikipedia,evt_paris_agreement,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Paris_Agreement,encyclopedic,direct
src_evt_hiv_aids_pandemic_wikipedia,evt_hiv_aids_pandemic,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Epidemiology_of_HIV/AIDS,encyclopedic,direct
src_evt_russian_revolution_britannica,evt_russian_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Russian-Revolution,encyclopedic,direct
src_evt_chinese_civil_war_britannica,evt_chinese_civil_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Chinese-Civil-War,encyclopedic,direct
src_evt_korean_war_britannica,evt_korean_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,encyclopedic,direct
src_evt_algerian_war_britannica,evt_algerian_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Algerian-War,encyclopedic,direct
src_evt_vietnam_war_britannica,evt_vietnam_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Vietnam-War,encyclopedic,direct
src_evt_suez_crisis_britannica,evt_suez_crisis,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Suez-Crisis,encyclopedic,direct
src_evt_congo_crisis_britannica,evt_congo_crisis,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Congo-crisis,encyclopedic,direct
src_evt_cuban_missile_crisis_britannica,evt_cuban_missile_crisis,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Cuban-missile-crisis,encyclopedic,direct
src_evt_apollo_11_nasa,evt_apollo_11,institutional,NASA,https://www.nasa.gov/history/apollo-11-mission-overview/,institutional,direct
src_evt_oil_crisis_1973_fed_history,evt_oil_crisis_1973,institutional,Federal Reserve History,https://www.federalreservehistory.org/essays/oil-shock-of-1973-74,institutional,direct
src_evt_iranian_revolution_britannica,evt_iranian_revolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Iranian-Revolution,encyclopedic,direct
src_evt_chernobyl_disaster_britannica,evt_chernobyl_disaster,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Chernobyl-disaster,encyclopedic,direct
src_evt_fall_berlin_wall_britannica,evt_fall_berlin_wall,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Berlin-Wall,encyclopedic,direct
src_evt_soviet_dissolution_britannica,evt_soviet_dissolution,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/the-collapse-of-the-Soviet-Union,encyclopedic,direct
src_evt_rwandan_genocide_un,evt_rwandan_genocide,institutional,United Nations,https://www.un.org/en/preventgenocide/rwanda/,institutional,direct
src_evt_september_11_attacks_britannica,evt_september_11_attacks,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/September-11-attacks,encyclopedic,direct
src_evt_iraq_war_britannica,evt_iraq_war,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Iraq-War,encyclopedic,direct
src_evt_financial_crisis_2007_2008_fed_history,evt_financial_crisis_2007_2008,institutional,Federal Reserve History,https://www.federalreservehistory.org/essays/great-recession-of-200709,institutional,direct
src_evt_arab_spring_britannica,evt_arab_spring,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Arab-Spring,encyclopedic,direct
src_evt_fukushima_disaster_britannica,evt_fukushima_disaster,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Fukushima-accident,encyclopedic,direct
src_evt_brexit_referendum_britannica,evt_brexit_referendum,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/Brexit,encyclopedic,direct
src_evt_annus_mirabilis_papers_wikipedia,evt_annus_mirabilis_papers,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Annus_mirabilis_papers,encyclopedic,direct
src_evt_ford_model_t_britannica,evt_ford_model_t,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/technology/Model-T,encyclopedic,direct
src_evt_spanish_flu_cdc,evt_spanish_flu,institutional,Centers for Disease Control and Prevention,https://www.cdc.gov/flu-resources/php/resources/1918-flu-pandemic.html,institutional,direct
src_evt_league_of_nations_britannica,evt_league_of_nations,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/topic/League-of-Nations,encyclopedic,direct
src_evt_insulin_discovery_nobel,evt_insulin_discovery,institutional,Nobel Prize,https://www.nobelprize.org/prizes/medicine/1923/summary/,institutional,direct
src_evt_penicillin_discovery_nobel,evt_penicillin_discovery,institutional,Nobel Prize,https://www.nobelprize.org/prizes/medicine/1945/summary/,institutional,direct
src_evt_new_deal_britannica,evt_new_deal,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/New-Deal,encyclopedic,direct
src_evt_munich_agreement_britannica,evt_munich_agreement,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Munich-Agreement,encyclopedic,direct
src_evt_nuclear_fission_discovery_britannica,evt_nuclear_fission_discovery,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/science/nuclear-fission,encyclopedic,direct
src_evt_bretton_woods_conference_britannica,evt_bretton_woods_conference,encyclopedia,Encyclopaedia Britannica,https://www.britannica.com/event/Bretton-Woods-Conference,encyclopedic,direct
